번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
1,家里,jiā lǐ,집,가리,我今天一直在家里。,나 오늘 계속 집에 있었어.,wǒ jīn tiān yì zhí zài jiā lǐ。,你现在在家里吗？,너 지금 집에 있어?,nǐ xiàn zài zài jiā lǐ ma？,有事的话你直接来家里找我。,일 있으면 그냥 집으로 나 찾아와.,yǒu shì de huà nǐ zhí jiē lái jiā lǐ zhǎo wǒ。,一直……,,,“家里”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 家里” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
2,地铁,dì tiě,지하철,지철,我今天坐地铁过来。,나 오늘 지하철 타고 왔어.,wǒ jīn tiān zuò dì tiě guò lái。,你觉得现在坐地铁会不会太挤？,지금 지하철 타면 너무 붐빌까?,nǐ jué de xiàn zài zuò dì tiě huì bú huì tài jǐ？,如果地铁太挤的话，我们就直接打车。,지하철이 너무 붐비면 우리 그냥 택시 타자.,rú guǒ dì tiě tài jǐ de huà， wǒ men jiù zhí jiē dǎ chē。,……过,如果……的话，……,,“地铁”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
3,解决,jiě jué,해결하다,해결,这个问题今天得解决。,이 문제는 오늘 해결해야 해요.,zhè ge wèn tí jīn tiān děi jiě jué。,这件事你打算怎么解决？,이 일은 어떻게 해결할 생각이에요?,zhè jiàn shì nǐ dǎ suàn zěn me jiě jué？,要不我们先谈清楚，再想办法解决。,"우선 분명히 얘기한 다음, 해결 방법을 생각해보죠.",yào bù wǒ men xiān tán qīng chǔ， zài xiǎng bàn fǎ jiě jué。,要不……,,,“解决”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
4,午饭,wǔ fàn,점심밥,오반,我中午随便吃了点午饭。,나 점심은 대충 간단히 먹었어.,wǒ zhōng wǔ suí biàn chī le diǎn wǔ fàn。,你午饭想吃什么？,너 점심 뭐 먹고 싶어?,nǐ wǔ fàn xiǎng chī shén me？,你先去吃午饭吧，吃完我们再聊。,너 먼저 점심 먹어. 다 먹고 다시 얘기하자.,nǐ xiān qù chī wǔ fàn ba， chī wán wǒ men zài liáo。,,,,“午饭”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
5,来,lái,오다,래,你先来，我给你开门。,"너 먼저 와, 내가 문 열어줄게.",nǐ xiān lái， wǒ gěi nǐ kāi mén。,你什么时候来？,너 언제 와?,nǐ shén me shí hòu lái？,来之前给我发个消息。,오기 전에 나한테 메시지 줘.,lái zhī qián gěi wǒ fā gè xiāo xī。,,,,“来”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
6,晚饭,wǎn fàn,저녁밥,만반,我今天晚饭想吃得清淡一点。,나는 오늘 저녁을 좀 담백하게 먹고 싶다.,wǒ jīn tiān wǎn fàn xiǎng chī dé qīng dàn yì diǎn。,你晚饭想在家吃还是出去吃？,"저녁은 집에서 먹을래, 밖에서 먹을래?",nǐ wǎn fàn xiǎng zài jiā chī hái shì chū qù chī？,你先去忙，晚饭的时候我再联系你。,"너 먼저 바쁜 일 하고, 저녁때 내가 다시 연락할게.",nǐ xiān qù máng， wǎn fàn de shí hòu wǒ zài lián xì nǐ。,,,,“晚饭”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
7,到,dào,도착하다,도,我刚到公司。,나 방금 회사 도착했어.,wǒ gāng dào gōng sī。,你到了没有？,"너 도착했어, 아직이야?",nǐ dào le méi yǒu？,到了以后直接给我打电话。,도착하면 바로 전화해.,dào le yǐ hòu zhí jiē gěi wǒ dǎ diàn huà。,我刚……,,,“到”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
8,米饭,mǐ fàn,밥,미반,我今天只想简单吃点米饭。,나는 오늘 그냥 밥만 간단히 먹고 싶다.,wǒ jīn tiān zhǐ xiǎng jiǎn dān chī diǎn mǐ fàn。,你还要不要再来半碗米饭？,밥 반 공기 더 먹을래?,nǐ hái yào bù yào zài lái bàn wǎn mǐ fàn？,菜有点咸的话，配米饭刚好。,반찬이 좀 짜면 밥이랑 같이 먹으면 딱 좋다.,cài yǒu diǎn xián de huà， pèi mǐ fàn gāng hǎo。,有点……,要不……,,“米饭”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
9,回来,huí lái,돌아오다,회래,我刚从外面回来。,나 방금 밖에서 돌아왔어.,wǒ gāng cóng wài miàn huí lái。,你几点回来？,너 몇 시쯤 돌아와?,nǐ jǐ diǎn huí lái？,回来以后给我发个消息。,돌아오면 나한테 메시지 줘.,huí lái yǐ hòu gěi wǒ fā gè xiāo xī。,我刚……,,,“回来”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
10,面条,miàn tiáo,면,면조,我今天突然想吃面条。,나 오늘 갑자기 면이 먹고 싶어.,wǒ jīn tiān tū rán xiǎng chī miàn tiáo。,晚上吃面条怎么样？,저녁에 면 먹는 거 어때?,wǎn shàng chī miàn tiáo zěn me yàng？,这家面条分量挺足的，我们去试试。,이 집 면 양이 꽤 많대. 한번 가 보자.,zhè jiā miàn tiáo fèn liàng tǐng zú de， wǒ men qù shì shì。,,,,“面条”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
