번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
1,习惯,xíguàn,습관; ~에 익숙하다,습관,我已经习惯了早起。,나는 이미 일찍 일어나는 것에 익숙해졌어.,Wǒ yǐjīng xíguàn le zǎoqǐ.,你习惯吃辣的吗？,너 매운 거 먹는 거 익숙해?,Nǐ xíguàn chī là de ma?,刚来的时候不太习惯，现在好多了。,"처음 왔을 때는 별로 익숙하지 않았는데, 지금은 많이 나아졌어.","Gāng lái de shíhou bú tài xíguàn, xiànzài hǎo duō le.",不太……,我已经……了,,동사(~에 익숙해지다)와 명사(습관) 두 가지로 모두 자주 쓰임.,'习惯+동사'로 '~하는 것에 익숙하다'는 뜻을 만들 수 있음.
2,机会,jīhuì,기회,기회,这个机会很难得。,이 기회는 아주 드물어.,Zhège jīhuì hěn nándé.,有机会的话，我想去日本旅游。,"기회가 있으면, 일본에 여행 가고 싶어.","Yǒu jīhuì de huà, wǒ xiǎng qù Rìběn lǚyóu.",好不容易才等到这个机会。,겨우 이 기회를 기다렸어.,Hǎo bù róngyì cái děngdào zhège jīhuì.,如果……的话，……,好不容易才……,我想……,'有机会'는 '기회가 있다'로 매우 자주 쓰이는 조합.,"'难得的机会(드문 기회)', '错过机会(기회를 놓치다)'도 고빈도 표현."
3,提前,tíqián,"미리, 앞당기다",제전,我提前到了十分钟。,나 10분 일찍 도착했어.,Wǒ tíqián dào le shí fēnzhōng.,你能不能提前告诉我？,나한테 미리 알려줄 수 있어?,Nǐ néng bù néng tíqián gàosu wǒ?,如果要请假的话，最好提前说一声。,"휴가 내려면, 미리 말하는 게 좋아.","Rúguǒ yào qǐngjià de huà, zuìhǎo tíqián shuō yì shēng.",能不能……？,如果……的话，……,,'提前+동사'로 '미리 ~하다'를 만듦. 일상에서 매우 고빈도.,"'提前准备(미리 준비하다)', '提前通知(미리 통지하다)' 등으로 확장 가능."
4,影响,yǐngxiǎng,영향; 영향을 미치다,영향,这件事对我影响很大。,이 일은 나에게 영향이 커.,Zhè jiàn shì duì wǒ yǐngxiǎng hěn dà.,你觉得天气会影响心情吗？,너는 날씨가 기분에 영향을 준다고 생각해?,Nǐ juéde tiānqì huì yǐngxiǎng xīnqíng ma?,不想影响别人，所以我出去打电话了。,"다른 사람에게 영향 주기 싫어서, 나가서 전화했어.","Bù xiǎng yǐngxiǎng biéren, suǒyǐ wǒ chūqù dǎ diànhuà le.",你觉得……怎么样？,所以……,,명사(영향)와 동사(영향을 주다) 모두 가능. '对……有影响'도 자주 씀.,'受到影响(영향을 받다)'도 실전에서 많이 쓰임.
5,放弃,fàngqì,포기하다,방기,我不想放弃。,나 포기하고 싶지 않아.,Wǒ bù xiǎng fàngqì.,你打算放弃还是继续？,포기할 거야 아니면 계속할 거야?,Nǐ dǎsuàn fàngqì háishi jìxù?,既然已经开始了，就不要放弃。,"이미 시작했으니까, 포기하지 마.","Jìrán yǐjīng kāishǐ le, jiù bú yào fàngqì.",我打算……,既然……就……,,'放弃+명사'(~을 포기하다)와 단독 사용 모두 자주 나옴.,'别放弃(포기하지 마)'는 격려 표현으로 매우 고빈도.
6,合适,héshì,"적합하다, 알맞다",합적,这件衣服大小很合适。,이 옷 사이즈가 딱 맞아.,Zhè jiàn yīfu dàxiǎo hěn héshì.,你觉得这个时间合适吗？,이 시간 괜찮다고 생각해?,Nǐ juéde zhège shíjiān héshì ma?,我还没找到合适的房子。,아직 적합한 집을 못 찾았어.,Wǒ hái méi zhǎodào héshì de fángzi.,你觉得……怎么样？,我还没……,,"'合适的+명사'로 '적합한 ~'을 만듦. 쇼핑, 집 구하기 등에서 자주 사용.",'不合适(적합하지 않다)'로 거절이나 판단 표현에 자주 쓰임.
7,麻烦,máfan,귀찮다; 폐를 끼치다,마번,这件事比较麻烦。,이 일은 좀 귀찮아.,Zhè jiàn shì bǐjiào máfan.,麻烦你帮我拿一下。,죄송한데 좀 가져다줄래요?,Máfan nǐ bāng wǒ ná yíxià.,不想麻烦别人，所以自己做了。,"다른 사람 귀찮게 하기 싫어서, 혼자 했어.","Bù xiǎng máfan biéren, suǒyǐ zìjǐ zuò le.",比较……,所以……,,"'麻烦你+동사'는 정중한 부탁 표현. 식당, 가게에서 자주 사용.",'太麻烦了(너무 귀찮아)'도 일상에서 매우 자주 쓰임.
8,联系,liánxì,연락하다,연계,我们一直保持联系。,우리 계속 연락하고 지내.,Wǒmen yìzhí bǎochí liánxì.,你可以用微信联系我吗？,위챗으로 나한테 연락할 수 있어?,Nǐ kěyǐ yòng Wēixìn liánxì wǒ ma?,有事的话，随时联系我。,"일 있으면, 언제든 연락해.","Yǒu shì de huà, suíshí liánxì wǒ.",一直……,你可以……吗？,如果……的话，……,'保持联系(연락을 유지하다)'는 헤어질 때 자주 쓰는 인사.,'联系方式(연락처)'도 실전에서 많이 사용하는 표현.
9,效果,xiàoguǒ,효과,효과,这个方法效果不错。,이 방법 효과가 괜찮아.,Zhège fāngfǎ xiàoguǒ búcuò.,你觉得效果怎么样？,효과가 어떤 것 같아?,Nǐ juéde xiàoguǒ zěnmeyàng?,我试了好几种，都没什么效果。,"여러 가지 시도해 봤는데, 다 별로 효과가 없었어.","Wǒ shì le hǎo jǐ zhǒng, dōu méi shénme xiàoguǒ.",你觉得……怎么样？,,,"'有效果(효과가 있다)', '没效果(효과가 없다)'로 자주 사용.","운동, 공부, 약, 화장품 등 다양한 상황에서 활용 가능."
10,距离,jùlí,거리,거리,从这儿到公司距离不远。,여기서 회사까지 거리가 멀지 않아.,Cóng zhèr dào gōngsī jùlí bù yuǎn.,距离太远了，打车去吧。,"거리가 너무 멀어, 택시 타고 가자.","Jùlí tài yuǎn le, dǎchē qù ba.",其实距离不是问题，时间才是。,"사실 거리가 문제가 아니라, 시간이 문제야.","Qíshí jùlí bú shì wèntí, shíjiān cái shì.",太……了,其实……,,"교통, 이사, 통근 등의 대화에서 자주 등장.",'距离+형용사'로 거리가 멀거나 가까움을 표현.
11,估计,gūjì,"아마, 짐작하다",고계,我估计他不会来了。,아마 그는 안 올 거야.,Wǒ gūjì tā bú huì lái le.,你估计要多长时间？,얼마나 걸릴 것 같아?,Nǐ gūjì yào duō cháng shíjiān?,估计明天会下雨，带把伞吧。,"아마 내일 비 올 거야, 우산 가져가.","Gūjì míngtiān huì xiàyǔ, dài bǎ sǎn ba.",我可能……,,,구어에서 '可能'과 비슷하지만 더 캐주얼한 추측 표현.,문장 앞에 놓으면 '아마'라는 부사처럼 사용 가능.
12,态度,tàidu,태도,태도,他的态度一直很好。,그의 태도는 줄곧 좋아.,Tā de tàidu yìzhí hěn hǎo.,你觉得他态度怎么样？,그 사람 태도 어떤 것 같아?,Nǐ juéde tā tàidu zěnmeyàng?,对我来说，态度比能力更重要。,나한테는 태도가 능력보다 더 중요해.,"Duì wǒ lái shuō, tàidu bǐ nénglì gèng zhòngyào.",一直……,对我来说，……,A 比 B ……,"직장, 서비스, 인간관계에서 자주 쓰이는 핵심 명사.",'态度不好(태도가 안 좋다)'는 불만 표현에 자주 등장.
13,坚持,jiānchí,"꾸준히 하다, 고수하다",견지,我每天坚持跑步。,나는 매일 꾸준히 달리기해.,Wǒ měitiān jiānchí pǎobù.,你能坚持多久？,얼마나 오래 버틸 수 있어?,Nǐ néng jiānchí duō jiǔ?,只要坚持下去，就一定会有效果。,"계속 견디기만 하면, 반드시 효과가 있을 거야.","Zhǐyào jiānchí xiàqù, jiù yídìng huì yǒu xiàoguǒ.",只要……就……,,,"운동, 공부, 다이어트 등 목표 관련 대화에서 자주 사용.",'坚持下去(계속 견디다)'는 격려 표현으로 고빈도.
